Date,Description,Amount,Currency,Category
2024-11-18,Salary Payment,2000.00,EUR,Salary
2024-11-15,Rimi Supermarket,-45.50,EUR,Groceries
2024-11-14,Bolt Taxi,-12.80,EUR,Transport
2024-11-13,Netflix,-11.99,EUR,Entertainment
2024-11-12,Maxima,-35.20,EUR,Food
2024-11-11,Wolt Delivery,-18.50,EUR,Dining
2024-11-10,Circle K Fuel,-65.00,EUR,Fuel
2024-11-09,Pharmacy,-15.75,EUR,Health
2024-11-08,Rimi Supermarket,-52.30,EUR,Groceries
2024-11-07,Spotify,-9.99,EUR,Entertainment
2024-11-06,Latvenergo,-45.00,EUR,Utilities
2024-11-05,Friend Refund,25.00,EUR,Transfer
2024-11-05,Wolt Delivery,-22.40,EUR,Food
2024-11-04,Bolt Taxi,-8.90,EUR,Transport
2024-11-03,Coffee,-3.50,EUR,Dining
2024-11-02,Gym Membership,-35.00,EUR,Sport
2024-11-01,Rimi Supermarket,-48.60,EUR,Groceries
